Waktu (detik),Tegangan (V),Arus (A)
850.0,11.47,3.62
851.0,11.47,2.7
852.0,11.45,2.89
853.0,11.6,2.06
854.0,11.4,3.18
855.0,11.45,3.0900000000000003
856.0,11.43,3.8200000000000003
857.0,11.43,3.62
858.0,11.33,3.97
859.0,11.38,3.8200000000000003
860.0,11.4,3.33
861.0,11.3,3.97
862.0,11.6,2.35
863.0,11.65,2.2600000000000002
864.0,11.38,3.58
865.0,11.5,2.84
866.0,11.57,2.7
867.0,11.38,3.77
868.0,11.43,3.67
869.0,11.52,2.7
870.0,11.47,2.89
871.0,11.55,2.99
872.0,11.43,3.5300000000000002
873.0,11.65,2.21
874.0,11.35,3.77
875.0,11.35,3.87
876.0,11.62,2.2600000000000002
877.0,11.52,2.7
878.0,11.5,2.55
879.0,11.5,2.94
880.0,11.55,2.89
881.0,11.52,2.6
882.0,11.52,2.65
883.0,11.5,2.79
884.0,11.45,3.43
885.0,11.52,2.99
886.0,11.52,2.7
887.0,11.4,3.3800000000000003
888.0,11.65,2.16
889.0,11.47,2.79
890.0,11.4,3.48
891.0,11.43,3.58
892.0,11.33,3.97
893.0,11.52,2.94
894.0,11.47,3.2800000000000002
895.0,11.65,2.45
896.0,11.52,2.94
897.0,11.62,2.31
898.0,11.65,2.16
899.0,11.65,2.21
900.0,11.43,3.18
901.0,11.45,2.99
902.0,11.47,3.43
903.0,11.52,2.99
904.0,11.38,3.48
905.0,11.38,3.92
906.0,11.47,3.23
907.0,11.57,2.45
908.0,11.6,2.35
909.0,11.38,3.8200000000000003
910.0,11.45,3.5300000000000002
911.0,11.65,2.06
912.0,11.6,2.79
913.0,11.57,2.6
914.0,11.52,2.79
915.0,11.45,3.14
916.0,11.5,3.2800000000000002
917.0,11.57,2.84
918.0,11.4,3.43
919.0,11.47,2.89
920.0,11.35,3.8200000000000003
921.0,11.47,2.99
922.0,11.55,2.7
923.0,11.38,3.92
924.0,11.33,3.87
925.0,11.47,3.33
926.0,11.33,3.97
927.0,11.5,3.23
928.0,11.45,3.5300000000000002
929.0,11.67,2.4
930.0,11.62,2.31
931.0,11.5,2.79
932.0,11.62,2.65
933.0,11.45,3.14
934.0,11.62,2.31
935.0,11.38,3.62
936.0,11.62,2.35
937.0,11.33,3.92
938.0,11.65,2.2600000000000002
939.0,11.55,2.94
940.0,11.52,2.75
941.0,11.65,2.45
942.0,11.45,3.14
943.0,11.6,2.45
944.0,11.4,3.77
945.0,11.35,3.62
946.0,11.47,3.33
947.0,11.57,2.45
948.0,11.65,2.2600000000000002
949.0,11.33,3.87
950.0,11.62,2.35
951.0,11.5,2.84
952.0,11.65,2.5
953.0,11.4,3.43
954.0,11.55,2.89
955.0,11.47,3.2800000000000002
956.0,11.6,2.45
957.0,11.6,2.7
958.0,11.35,3.62
959.0,11.38,3.3800000000000003
960.0,11.55,2.84
961.0,11.5,3.23
962.0,11.6,2.4
963.0,11.47,3.23
964.0,11.33,4.02
965.0,11.5,3.18
966.0,11.4,3.23
967.0,11.33,3.72
968.0,11.65,2.2600000000000002
969.0,11.47,2.89
970.0,11.33,3.97
971.0,11.65,2.31
972.0,11.65,2.45
973.0,11.43,3.0900000000000003
974.0,11.38,3.8200000000000003
975.0,11.5,2.84
976.0,11.52,2.84
977.0,11.43,3.5300000000000002
978.0,11.57,2.5
979.0,11.35,3.72
980.0,11.55,2.55
981.0,11.33,4.02
982.0,11.45,3.0900000000000003
983.0,11.45,3.33
984.0,11.38,3.92
985.0,11.5,2.7
986.0,11.6,2.75
987.0,11.6,2.2600000000000002
988.0,11.5,3.18
989.0,11.47,3.14
990.0,11.38,3.58
991.0,11.38,3.43
992.0,11.62,2.16
993.0,11.55,2.55
994.0,11.55,2.94
995.0,11.33,3.87
996.0,11.47,3.2800000000000002
997.0,11.33,3.92
998.0,11.38,3.87
999.0,11.47,2.94
1000.0,11.43,3.0900000000000003
1001.0,11.6,2.65
1002.0,11.35,3.97
1003.0,11.33,3.72
1004.0,11.62,2.21
1005.0,11.57,2.45
1006.0,11.47,3.14
1007.0,11.52,2.99
1008.0,11.38,3.3800000000000003
1009.0,11.38,3.43
1010.0,11.62,2.21
1011.0,11.45,3.43
1012.0,11.4,3.72
1013.0,11.6,2.2600000000000002
1014.0,11.57,2.7
1015.0,11.38,3.3800000000000003
1016.0,11.6,2.45
1017.0,11.43,3.0900000000000003
1018.0,11.3,3.92
1019.0,11.33,3.77
1020.0,11.65,2.55
1021.0,11.65,2.31
1022.0,11.33,3.97
1023.0,11.35,3.58
1024.0,11.57,2.79
1025.0,11.6,2.65
1026.0,11.43,3.58
1027.0,11.55,2.65
1028.0,11.62,2.21
1029.0,11.33,4.02
1030.0,11.4,3.58
1031.0,11.4,3.43
1032.0,11.3,3.92
1033.0,11.52,2.7
1034.0,11.52,2.99
1035.0,11.5,2.99
1036.0,11.38,3.8200000000000003
1037.0,11.5,2.99
1038.0,11.43,3.5300000000000002
1039.0,11.5,3.0900000000000003
1040.0,11.33,3.87
1041.0,11.35,3.97
1042.0,11.5,2.55
1043.0,11.57,2.45
1044.0,11.35,3.92
1045.0,11.35,4.02
1046.0,11.52,3.04
1047.0,11.47,3.14
1048.0,11.57,2.45
1049.0,11.62,2.31
1050.0,11.52,2.89
1051.0,11.6,2.65
1052.0,11.4,3.67
1053.0,11.45,3.33
1054.0,11.35,3.5300000000000002
1055.0,11.35,3.58
1056.0,11.62,2.21
1057.0,11.6,2.6
1058.0,11.33,3.92
1059.0,11.62,2.11
1060.0,11.62,2.11
1061.0,11.43,3.5300000000000002
1062.0,11.38,3.8200000000000003
1063.0,11.6,2.31
1064.0,11.6,2.31
1065.0,11.38,3.92
1066.0,11.47,2.84
1067.0,11.5,2.65
1068.0,11.47,3.14
1069.0,11.62,2.21
1070.0,11.6,2.65
1071.0,11.47,2.79
1072.0,11.6,2.2600000000000002
1073.0,11.47,3.04
1074.0,11.57,2.31
1075.0,11.62,2.35
1076.0,11.43,2.99
1077.0,11.35,3.58
1078.0,11.6,2.65
1079.0,11.6,2.31
