Waktu (detik),Tegangan (V),Arus (A)
1022.0,12.7,2.7
1023.0,12.72,2.65
1024.0,12.52,3.8200000000000003
1025.0,12.57,3.48
1026.0,12.4,3.8200000000000003
1027.0,12.67,2.79
1028.0,12.43,4.41
1029.0,12.57,3.67
1030.0,12.5,3.62
1031.0,12.43,4.36
1032.0,12.33,4.45
1033.0,12.72,2.6
1034.0,12.62,3.33
1035.0,12.6,3.0900000000000003
1036.0,12.6,3.3800000000000003
1037.0,12.65,2.94
1038.0,12.5,3.77
1039.0,12.6,3.33
1040.0,12.38,4.21
1041.0,12.62,2.99
1042.0,12.45,4.31
1043.0,12.38,4.45
1044.0,12.65,3.18
1045.0,12.52,3.43
1046.0,12.57,3.5300000000000002
1047.0,12.43,3.67
1048.0,12.72,2.6
1049.0,12.35,4.6
1050.0,12.6,3.0900000000000003
1051.0,12.57,3.5300000000000002
1052.0,12.43,4.16
1053.0,12.67,3.04
1054.0,12.35,4.5
1055.0,12.6,3.14
1056.0,12.48,4.02
1057.0,12.5,3.5300000000000002
1058.0,12.45,4.11
1059.0,12.35,4.5
1060.0,12.62,3.14
1061.0,12.7,2.65
1062.0,12.55,3.72
1063.0,12.72,2.89
1064.0,12.43,4.31
1065.0,12.5,3.92
1066.0,12.62,2.94
1067.0,12.35,4.02
1068.0,12.72,2.65
1069.0,12.6,3.0900000000000003
1070.0,12.38,4.36
1071.0,12.62,2.94
1072.0,12.45,4.16
1073.0,12.35,4.31
1074.0,12.7,2.6
1075.0,12.7,2.6
1076.0,12.65,3.18
1077.0,12.38,4.5
1078.0,12.5,3.43
1079.0,12.35,4.31
1080.0,12.72,2.55
1081.0,12.38,4.6
1082.0,12.43,3.8200000000000003
1083.0,12.52,3.62
1084.0,12.4,4.26
1085.0,12.67,2.79
1086.0,12.38,4.41
1087.0,12.38,4.06
1088.0,12.52,3.58
1089.0,12.52,3.3800000000000003
1090.0,12.55,3.23
